Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model,Car Age,Price Range,Mileage Range
184,Audi,2011,1.6,Diesel,Automatic,204249.0,Used,65248.06,Q7,15,Upper Mid,Very High
185,Tesla,2020,0.0,Electric,Automatic,205538.0,Used,78390.81,Model Y,6,Premium,Very High
186,Tesla,2015,0.0,Electric,Automatic,197865.0,Used,35844.5,Model X,11,Mid,High
187,Audi,2012,2.7,Diesel,Manual,201466.0,Used,75349.3,A4,14,Premium,Very High
188,Tesla,2020,0.0,Electric,Automatic,187223.0,Used,86918.81,Model Y,6,Premium,High
190,Audi,2016,2.0,Diesel,Automatic,137980.0,Used,37290.1,Q5,10,Mid,High
191,BMW,2009,3.0,Petrol,Manual,68447.0,Like New,90495.38,X3,17,Premium,Medium
192,Audi,2009,5.5,Diesel,Manual,205599.0,Used,9730.07,Q5,17,Budget,Very High
193,Tesla,2023,0.0,Electric,Automatic,226301.0,Used,38267.99,Model X,3,Mid,Very High
194,Ford,2003,3.5,Petrol,Automatic,279778.0,Used,16273.89,Fiesta,23,Budget,Very High
196,Mercedes,2003,1.1,Diesel,Automatic,55063.0,Used,15722.59,GLA,23,Budget,Medium
198,Honda,2006,1.3,Diesel,Automatic,19340.0,Used,70260.83,Accord,20,Upper Mid,Low
199,Honda,2021,0.0,Electric,Automatic,62781.0,Used,32481.83,CR-V,5,Mid,Medium
200,Audi,2000,3.8,Diesel,Automatic,277045.0,Used,85719.15,Q5,26,Premium,Very High
201,Mercedes,2011,4.1,Hybrid,Automatic,10638.0,Used,46573.48,GLA,15,Mid,Low
202,Toyota,2023,4.4,Diesel,Automatic,217986.0,Used,96981.66,Prius,3,Premium,Very High
203,Audi,2012,2.3,Petrol,Manual,221668.0,Used,95644.79,A3,14,Premium,Very High
204,Mercedes,2009,1.0,Hybrid,Automatic,294786.0,Used,78461.24,GLC,17,Premium,Very High
205,BMW,2014,0.0,Electric,Automatic,25378.0,Used,93578.52,3 Series,12,Premium,Low
206,BMW,2012,3.7,Hybrid,Automatic,118171.0,Used,72174.13,X3,14,Upper Mid,High
207,BMW,2022,5.2,Hybrid,Automatic,214801.0,Used,90080.4,X3,4,Premium,Very High
208,BMW,2021,5.1,Hybrid,Manual,64377.0,Like New,27465.0,3 Series,5,Mid,Medium
209,BMW,2021,5.2,Petrol,Manual,260339.0,Used,37814.92,X5,5,Mid,Very High
210,Mercedes,2020,3.4,Petrol,Automatic,54691.0,Like New,76528.36,C-Class,6,Premium,Medium
214,Tesla,2014,0.0,Electric,Automatic,121399.0,Used,33474.3,Model S,12,Mid,High
215,BMW,2009,5.3,Hybrid,Manual,31357.0,Used,83227.83,5 Series,17,Premium,Low
216,Toyota,2023,5.4,Petrol,Manual,294458.0,Used,19655.11,Corolla,3,Budget,Very High
217,Tesla,2020,0.0,Electric,Automatic,70283.0,Like New,36748.69,Model Y,6,Mid,Medium
218,Mercedes,2007,1.4,Petrol,Automatic,59567.0,Used,54206.67,C-Class,19,Upper Mid,Medium
220,Toyota,2015,0.0,Electric,Automatic,141758.0,Like New,60030.44,Prius,11,Upper Mid,High
221,Toyota,2016,5.5,Diesel,Manual,61606.0,Used,59976.03,RAV4,10,Upper Mid,Medium
222,Ford,2004,0.0,Electric,Automatic,281035.0,Used,24655.78,Fiesta,22,Budget,Very High
223,Mercedes,2003,0.0,Electric,Automatic,101732.0,Used,80585.93,GLA,23,Premium,High
224,Toyota,2017,5.4,Hybrid,Automatic,191791.0,Used,65006.23,RAV4,9,Upper Mid,High
225,BMW,2023,2.9,Diesel,Automatic,292021.0,Used,35187.25,X3,3,Mid,Very High
226,Audi,2018,3.7,Hybrid,Automatic,249465.0,Used,27057.55,A4,8,Mid,Very High
227,Toyota,2003,5.8,Hybrid,Manual,224589.0,Used,88481.26,Corolla,23,Premium,Very High
228,Ford,2006,1.3,Petrol,Manual,14026.0,Used,84395.51,Fiesta,20,Premium,Low
229,Tesla,2020,0.0,Electric,Automatic,282566.0,Used,26827.26,Model Y,6,Mid,Very High
230,Mercedes,2017,1.4,Petrol,Automatic,295625.0,Used,8382.5,GLC,9,Budget,Very High
231,Ford,2018,2.9,Petrol,Manual,109384.0,Used,81430.6,Explorer,8,Premium,High
232,Toyota,2003,5.0,Hybrid,Automatic,252771.0,Used,63473.31,Corolla,23,Upper Mid,Very High
233,Mercedes,2009,0.0,Electric,Automatic,58031.0,Used,14583.79,C-Class,17,Budget,Medium
235,Toyota,2022,0.0,Electric,Automatic,143084.0,Used,47957.36,Camry,4,Mid,High
236,Ford,2017,2.6,Hybrid,Manual,236503.0,Used,78582.28,Focus,9,Premium,Very High
237,Honda,2004,2.1,Hybrid,Automatic,292104.0,Used,24863.06,Fit,22,Budget,Very High
239,Tesla,2016,0.0,Electric,Automatic,130066.0,Used,19843.19,Model X,10,Budget,High
241,Mercedes,2011,2.8,Hybrid,Automatic,264837.0,Used,78980.12,GLA,15,Premium,Very High
242,Toyota,2001,0.0,Electric,Automatic,115313.0,Used,74988.63,Corolla,25,Upper Mid,High
243,BMW,2000,4.6,Petrol,Automatic,28810.0,Used,70569.63,3 Series,26,Upper Mid,Low
244,Toyota,2022,0.0,Electric,Automatic,20092.0,Used,45216.96,Prius,4,Mid,Low
245,Mercedes,2020,4.5,Diesel,Automatic,58105.0,Used,92711.83,C-Class,6,Premium,Medium
246,Toyota,2016,0.0,Electric,Automatic,161577.0,Used,11927.12,RAV4,10,Budget,High
248,BMW,2015,0.0,Electric,Automatic,290699.0,Used,25447.11,3 Series,11,Mid,Very High
249,BMW,2004,3.4,Petrol,Manual,71934.0,Used,35782.66,X3,22,Mid,Medium
250,Mercedes,2014,1.0,Diesel,Automatic,72788.0,Used,54345.82,GLA,12,Upper Mid,Medium
251,Tesla,2012,0.0,Electric,Automatic,280083.0,Used,79352.23,Model S,14,Premium,Very High
254,Toyota,2009,1.3,Diesel,Manual,36.0,Like New,43288.37,Camry,17,Mid,Low
256,Toyota,2013,3.9,Hybrid,Automatic,80738.0,Like New,28419.52,Camry,13,Mid,Medium
257,Toyota,2012,0.0,Electric,Automatic,60071.0,Used,81293.98,Camry,14,Premium,Medium
258,Ford,2001,4.8,Petrol,Automatic,130613.0,Like New,63144.71,Focus,25,Upper Mid,High
259,Toyota,2002,0.0,Electric,Automatic,73601.0,Used,40805.03,Camry,24,Mid,Medium
261,Honda,2020,1.7,Diesel,Manual,167720.0,Used,47426.93,Fit,6,Mid,High
262,BMW,2017,0.0,Electric,Automatic,71468.0,Used,31288.4,X3,9,Mid,Medium
263,Mercedes,2002,4.1,Diesel,Automatic,288614.0,Used,14912.93,E-Class,24,Budget,Very High
264,Tesla,2017,0.0,Electric,Automatic,196201.0,Used,12140.06,Model 3,9,Budget,High
265,Audi,2021,0.0,Electric,Automatic,8328.0,Used,38018.04,A3,5,Mid,Low
266,Toyota,2006,2.0,Petrol,Manual,137405.0,Used,63401.95,Camry,20,Upper Mid,High
267,Toyota,2008,5.5,Diesel,Automatic,251519.0,Used,84564.33,Prius,18,Premium,Very High
268,Ford,2016,4.7,Diesel,Manual,121173.0,Like New,22438.51,Focus,10,Budget,High
269,Mercedes,2010,0.0,Electric,Automatic,46638.0,Like New,45341.18,GLC,16,Mid,Low
270,Honda,2006,0.0,Electric,Automatic,273412.0,Used,42235.83,Accord,20,Mid,Very High
271,Audi,2023,0.0,Electric,Automatic,201675.0,Used,53772.43,A4,3,Upper Mid,Very High
272,BMW,2013,0.0,Electric,Automatic,113920.0,Like New,81910.79,5 Series,13,Premium,High
273,Honda,2018,0.0,Electric,Automatic,171813.0,Used,57596.3,CR-V,8,Upper Mid,High
274,Mercedes,2003,3.9,Hybrid,Automatic,7887.0,Used,85432.22,E-Class,23,Premium,Low
275,Tesla,2012,0.0,Electric,Automatic,228978.0,Used,54262.42,Model S,14,Upper Mid,Very High
276,BMW,2009,1.8,Petrol,Automatic,24918.0,Used,62365.5,5 Series,17,Upper Mid,Low
277,Tesla,2015,0.0,Electric,Automatic,297641.0,Used,46551.41,Model X,11,Mid,Very High
278,Ford,2012,4.6,Petrol,Manual,192081.0,Used,83194.08,Fiesta,14,Premium,High
279,Ford,2013,2.4,Petrol,Manual,274073.0,Used,92763.58,Explorer,13,Premium,Very High
280,Toyota,2003,2.0,Hybrid,Manual,102201.0,Used,65718.75,Corolla,23,Upper Mid,High
281,Tesla,2015,0.0,Electric,Automatic,210171.0,Used,82974.33,Model X,11,Premium,Very High
282,Mercedes,2004,2.2,Diesel,Automatic,290690.0,Used,10605.32,E-Class,22,Budget,Very High
284,BMW,2003,0.0,Electric,Automatic,168410.0,Used,22947.88,5 Series,23,Budget,High
285,Honda,2002,0.0,Electric,Automatic,82494.0,Like New,29369.44,CR-V,24,Mid,Medium
286,Mercedes,2008,3.5,Hybrid,Automatic,215859.0,Used,10066.36,GLA,18,Budget,Very High
287,Mercedes,2007,1.9,Hybrid,Manual,233853.0,Used,96713.01,GLA,19,Premium,Very High
288,Ford,2000,1.4,Hybrid,Automatic,128279.0,Like New,85941.03,Fiesta,26,Premium,High
289,Tesla,2012,0.0,Electric,Automatic,81991.0,Used,91752.54,Model S,14,Premium,Medium
290,Toyota,2008,2.9,Petrol,Automatic,290157.0,Used,85485.54,Camry,18,Premium,Very High
291,Toyota,2006,5.1,Hybrid,Manual,52132.0,Used,50555.4,Camry,20,Upper Mid,Medium
292,BMW,2003,4.3,Hybrid,Automatic,255069.0,Used,92787.78,3 Series,23,Premium,Very High
293,Ford,2012,5.0,Hybrid,Manual,159156.0,Used,97099.92,Explorer,14,Premium,High
294,Mercedes,2016,2.4,Petrol,Automatic,152215.0,Used,52743.86,E-Class,10,Upper Mid,High
295,Audi,2001,4.5,Petrol,Automatic,91627.0,Used,21684.35,A4,25,Budget,Medium
296,Ford,2004,2.3,Hybrid,Manual,122772.0,Used,67569.14,Focus,22,Upper Mid,High
298,BMW,2020,0.0,Electric,Automatic,141294.0,Like New,87853.95,X5,6,Premium,High
300,BMW,2005,2.3,Diesel,Manual,16116.0,Like New,93712.71,5 Series,21,Premium,Low
301,Ford,2007,2.0,Diesel,Automatic,182124.0,Used,89925.46,Mustang,19,Premium,High
302,Honda,2017,4.5,Hybrid,Manual,51369.0,Used,78746.76,Accord,9,Premium,Medium
303,Ford,2002,2.1,Petrol,Manual,179889.0,Used,73235.92,Explorer,24,Upper Mid,High
